"","N","SLA"
"1",2.0129550346519,0.0683654657797727
"2",1.20282447829341,0.1552733062
"3",1.28468020434132,0.2769740056
"4",1.37824418250998,0.215828797579365
"5",1.23036930219241,0.25595423096129
"6",1.3750397875499,0.20658287105
"7",1.20217522679641,0.2883561847
"8",1.33059429241517,0.216212898716667
"9",1.3980780385479,0.1112507116375
"10",1.28863308221058,0.26406669532381
"11",1.24646060591317,0.279701354876923
"12",1.52708225299401,0.169223871933333
"14",1.23229245883234,0.21630909021
"15",1.11839498727545,0.164321386
"16",1.29132587088323,0.250356619823077
"17",1.41198120558882,0.3053710806
"18",1.1465549118014,0.35064879694
"19",1.36755559331337,0.2658670217625
"20",1.23312373328343,0.245440034422222
"21",1.33677539683134,0.29718684487
"22",1.22421875860778,0.1232955764
"23",1.58887047617265,0.105166486606
"24",3.04504720708583,0.088592046442
"25",1.45500382834331,0.253630154777778
"26",1.35112487225549,0.297838064033333
"27",1.26993209356287,0.217520326771429
"28",1.12610239620758,0.389227704023529
"29",2.95248433907186,0.059093017035
"30",1.95588421581836,0.0497244085973333
"31",2.31926859219062,0.04690159666
"32",3.92862470442073,0.0474414713851111
"34",2.17237601983533,0.0865488949392593
"35",2.17600183894711,0.04540083966
"36",1.20079673777445,0.1392928115
"37",1.28595271981038,0.15584322665
"38",1.43659950349301,0.142855372991667
"39",1.48289112188124,0.16966588765
"40",1.51476079129242,0.180592241528889
"41",1.46002055052395,0.185753765933333
"42",1.29390553143713,0.157726678711163
"43",1.3096479745509,0.1434023626
"44",1.63798550798403,0.146142982745
"45",1.27309996719062,0.153621639565833
"46",1.27436370758483,0.14943192909825
"47",1.33830746581836,0.28987373485
"48",1.23935188473054,0.22314674595
"49",1.32842900835828,0.2233229383
"50",2.20021283246008,0.0548702909758333
"51",1.17027740968064,0.254812801114375
"52",1.54569359756858,0.105994901962299
"53",1.77846666017964,0.076078402265
"54",1.18132109917665,0.223868384683333
